"country","gold","bronze","silver"
"USA",2638,1358,1641
"Russia",1599,1178,1170
"Germany",1301,1260,1195
"UK",678,651,739
"Italy",575,531,531
"France",501,666,610
"Sweden",479,535,522
"Canada",463,451,438
"Hungary",432,371,332
"Norway",378,294,361
"Australia",368,522,459
"China",351,293,349
"Netherlands",287,413,340
"Japan",247,357,309
"South Korea",221,185,232
"Finland",198,432,270
"Denmark",179,177,241
"Switzerland",175,268,248
"Cuba",164,116,129
"Romania",161,292,200
"Serbia",157,160,222
"India",138,40,19
"Czech Republic",123,259,262
"Poland",117,253,195
"Spain",110,136,243
"Brazil",109,191,175
"Austria",108,156,186
"Belgium",98,173,197
"Argentina",91,91,92
"New Zealand",90,82,56
"Greece",62,84,109
"Croatia",58,37,54
"Bulgaria",54,144,144
"Ukraine",47,100,52
"Pakistan",42,34,45
"Turkey",40,28,27
"Jamaica",38,44,75
"Kenya",34,31,41
"South Africa",32,52,47
"Uruguay",31,30,2
"Mexico",30,54,26
"Belarus",24,71,44
"Nigeria",23,46,30
"Ethiopia",22,22,9
"Kazakhstan",20,32,25
"Cameroon",20,1,1
"Iran",18,29,21
"Zimbabwe",17,1,4
"North Korea",16,35,16
"Slovakia",15,13,19
"Bahamas",14,15,11
"Estonia",13,25,12
"Fiji",13,0,0
"Indonesia",11,13,17
"Uzbekistan",10,17,7
"Ireland",9,13,13
"Thailand",9,13,8
"Slovenia",8,27,13
"Georgia",8,18,6
"Azerbaijan",7,25,12
"Trinidad",7,22,8
"Egypt",7,12,8
"Lithuania",6,48,7
"Morocco",6,12,5
"Colombia",5,14,9
"Algeria",5,8,4
"Portugal",4,26,11
"Luxembourg",4,0,4
"Taiwan",3,18,28
"Latvia",3,13,19
"Chile",3,20,9
"Tunisia",3,7,3
"Dominican Republic",3,2,2
"Mongolia",2,14,10
"Armenia",2,9,5
"Venezuela",2,10,3
"Uganda",2,2,3
"Liechtenstein",2,5,2
"Peru",1,0,14
"Vietnam",1,0,3
"Puerto Rico",1,6,2
"Syria",1,2,2
"Israel",1,7,1
"Haiti",1,5,1
"Individual Olympic Athletes",1,3,1
"Tajikistan",1,2,1
"Costa Rica",1,2,1
"Ivory Coast",1,1,1
"Bahrain",1,1,1
"Grenada",1,0,1
"Ecuador",1,0,1
"Burundi",1,0,1
"Panama",1,2,0
"Mozambique",1,1,0
"Suriname",1,1,0
"United Arab Emirates",1,1,0
"Kosovo",1,0,0
"Nepal",1,0,0
"Jordan",1,0,0
"Paraguay",0,0,17
"Iceland",0,2,15
"Montenegro",0,0,14
"Malaysia",0,5,11
"Namibia",0,0,4
"Philippines",0,7,3
"Moldova",0,5,3
"Lebanon",0,2,2
"Tanzania",0,0,2
"Sri Lanka",0,0,2
"Ghana",0,22,1
"Saudi Arabia",0,5,1
"Qatar",0,4,1
"Kyrgyzstan",0,2,1
"Zambia",0,1,1
"Niger",0,1,1
"Curacao",0,0,1
"Sudan",0,0,1
"Cyprus",0,0,1
"Senegal",0,0,1
"Gabon",0,0,1
"Tonga",0,0,1
"Botswana",0,0,1
"Guatemala",0,0,1
"Virgin Islands, US",0,0,1
"Afghanistan",0,2,0
"Kuwait",0,2,0
"Barbados",0,1,0
"Monaco",0,1,0
"Guyana",0,1,0
"Mauritius",0,1,0
"Macedonia",0,1,0
"Eritrea",0,1,0
"Togo",0,1,0
"Djibouti",0,1,0
"Iraq",0,1,0
"Bermuda",0,1,0
